RSSI A,RSSI B,RSSI C,x,y
-20,-50,-35,1.2031,0
-36,-38,-33,2.406,0
-49,-41,-32,3.609,0
-43,-38,-36,4.8125,0
-40,-43,-27,6.0155,0
-40,-39,-34,7.218,0
-42,-41,-31,8.421,0
-31,-43,-48,0.601,0.623
-34,-49,-32,1.804,0.623
-45,-37,-37,3.007,0.623
-39,-44,-32,4.2257,0.623
-38,-42,-26,5.414,0.623
-43,-45,-27,6.616,0.623
-40,-35,-32,7.8195,0.623
-42,-29,-38,9.023,0.623
-31,-57,-34,0,1.246
-36,-47,-35,1.2031,1.246
-37,-45,-35,2.406,1.246
-33,-35,-38,3.609,1.246
-39,-41,-34,4.8125,1.246
-48,-39,-26,6.0155,1.246
-45,-32,-30,7.218,1.246
-39,-36,-35,8.421,1.246
-39,-29,-41,9.625,1.246
-29,-44,-36,0.601,1.869
-40,-44,-36,1.804,1.869
-32,-38,-39,3.007,1.869
-46,-41,-31,4.2257,1.869
-40,-48,-15,5.414,1.869
-50,-33,-29,6.616,1.869
-50,-29,-35,7.8195,1.869
-48,-33,-37,9.023,1.869
-35,-54,-51,0,2.492
-30,-41,-42,1.2031,2.492
-35,-48,-35,2.406,2.492
-38,-37,-34,3.609,2.492
-40,-34,-30,6.0155,2.492
-45,-33,-31,7.218,2.492
-43,-33,-34,8.421,2.492
-46,-32,-35,9.625,2.492
-31,-56,-36,1.804,0
-47,-23,-37,9.023,0
-21,-42,-40,0.601,0.3115
-41,-38,-32,5.414,0.3115
-37,-44,-38,2.406,0.934
-39,-33,-33,6.0155,0.934
-38,-41,-32,4.8125,0.623
-42,-30,-36,9.023,1.246
-46,-35,-38,6.616,1.5575
-45,-42,-28,4.2257,1.5575
-39,-51,-36,0,1.864
-38,-36,-31,6.0155,1.864
-38,-45,-41,1.2031,2.1805
-39,-33,-38,7.218,2.1805
-39,-39,-41,3.007,2.492
-43,-30,-32,6.616,2.492
